name,path,duration,bitrate,size_mb,num_streams,format
82nd Airborne All-American Chorus - Carolina On My Mind.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - Carolina On My Mind.mp3,207.912,123894.0,3.292442321777344,2,.mp3
82nd Airborne All-American Chorus - Christmas Medley.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - Christmas Medley.mp3,456.96,124472.0,7.005912780761719,2,.mp3
82nd Airborne All-American Chorus - Danny Boy.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - Danny Boy.mp3,122.328,126175.0,1.9883546829223635,2,.mp3
82nd Airborne All-American Chorus - God Bless the USA.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - God Bless the USA.mp3,153.072,126955.0,2.5375890731811523,2,.mp3
82nd Airborne All-American Chorus - The All-American Soldier.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - The All-American Soldier.mp3,101.808,125083.0,1.7382326126098633,2,.mp3
82nd Airborne All-American Chorus - We Were There.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - We Were There.mp3,270.84,130445.0,4.462023735046387,2,.mp3
"Aaron Copland, London Symphony Orchestra - Fanfare for the Common Man.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Aaron Copland, London Symphony Orchestra - Fanfare for the Common Man.mp3",195.0,122893.0,2.986363410949707,2,.mp3
ABBA - Dancing Queen.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\ABBA - Dancing Queen.mp3,230.424,129845.0,3.681032180786133,2,.mp3
ABBA - Take A Chance On Me.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\ABBA - Take A Chance On Me.mp3,243.96,128201.0,3.83062744140625,2,.mp3
ACDC - Back In Black.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\ACDC - Back In Black.mp3,255.528,136026.0,4.173299789428711,2,.mp3
ACDC - Dirty Deeds Done Dirt Cheap.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\ACDC - Dirty Deeds Done Dirt Cheap.mp3,231.96,130754.0,3.785221099853516,2,.mp3
ACDC - Hells Bells.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\ACDC - Hells Bells.mp3,312.336,130624.0,4.89393424987793,2,.mp3
ACDC - Highway to Hell.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\ACDC - Highway to Hell.mp3,208.44,135576.0,3.52151870727539,2,.mp3
ACDC - Rock N Roll Train.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\ACDC - Rock N Roll Train.mp3,261.552,130794.0,4.220792770385742,2,.mp3
ACDC - T.N.T..mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\ACDC - T.N.T..mp3,214.704,131268.0,3.448762893676758,2,.mp3
